2023-11-15 18:57:08,663 INFO    Thread-20 :26860 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\30846\Desktop\python\D6900\wandb\run-20231115_185655-6jb3z25q\files\output.log
2023-11-15 18:57:10,689 INFO    Thread-20 :26860 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\30846\Desktop\python\D6900\wandb\run-20231115_185655-6jb3z25q\files\output.log
2023-11-15 18:57:11,135 ERROR   wandb-upload_0:26860 [internal_api.py:upload_file():2557] upload_file exception https://storage.googleapis.com/wandb-production.appspot.com/3084608158/cub_ProxyAnchor/6jb3z25q/wandb-metadata.json?Expires=1700132226&GoogleAccessId=gorilla-files-url-signer-man%40wandb-production.iam.gserviceaccount.com&Signature=pLTrjlXlJ0OJlKKl8zrJ7JpG%2BcHEIpLRSeeNfJA2cJeDXcehqQIDNU8ZNR5pUV5XJLSqfefVB29tUOXnzrcaGACrRUAZ8g0GWIPCNEEkr1B2HUBHK5f64z58agn%2B5f4MJxEvARHgHd9lgW4ySRYiqISuMjU0opCptwggqRV67mG0izVHlbDrv3pYB%2FhLcnrPUIEnNGnJCbNUsU8MkMAuIxMsYZzuMmmRb2OnAJCvwFA9kL%2Biksx0iu4IhBFzmWcVXOn%2BS9%2F9ImjReXF4fLvY7Gi40G%2FiwSGU2pBGUTH3e20d8CGD9f3IM%2Bid18biZbSlwMSGkuESGKVNhAqEmUVcZg%3D%3D: HTTPSConnectionPool(host='storage.googleapis.com', port=443): Max retries exceeded with url: /wandb-production.appspot.com/3084608158/cub_ProxyAnchor/6jb3z25q/wandb-metadata.json?Expires=1700132226&GoogleAccessId=gorilla-files-url-signer-man%40wandb-production.iam.gserviceaccount.com&Signature=pLTrjlXlJ0OJlKKl8zrJ7JpG%2BcHEIpLRSeeNfJA2cJeDXcehqQIDNU8ZNR5pUV5XJLSqfefVB29tUOXnzrcaGACrRUAZ8g0GWIPCNEEkr1B2HUBHK5f64z58agn%2B5f4MJxEvARHgHd9lgW4ySRYiqISuMjU0opCptwggqRV67mG0izVHlbDrv3pYB%2FhLcnrPUIEnNGnJCbNUsU8MkMAuIxMsYZzuMmmRb2OnAJCvwFA9kL%2Biksx0iu4IhBFzmWcVXOn%2BS9%2F9ImjReXF4fLvY7Gi40G%2FiwSGU2pBGUTH3e20d8CGD9f3IM%2Bid18biZbSlwMSGkuESGKVNhAqEmUVcZg%3D%3D (Caused by ProxyError('Cannot connect to proxy.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
2023-11-15 18:57:11,135 ERROR   wandb-upload_0:26860 [internal_api.py:upload_file():2559] upload_file request headers: {'User-Agent': 'python-requests/2.25.1', 'Accept-Encoding': 'gzip, deflate', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '1793'}
2023-11-15 18:57:11,135 ERROR   wandb-upload_0:26860 [internal_api.py:upload_file():2561] upload_file response body: 
2023-11-15 18:57:13,282 DEBUG   HandlerThread:26860 [handler.py:handle_request():146] handle_request: status_report
2023-11-15 18:57:16,333 INFO    wandb-upload_0:26860 [upload_job.py:push():131] Uploaded file C:\Users\30846\AppData\Local\Temp\tmpoav9x3jlwandb\1x1t7ntk-wandb-metadata.json
2023-11-15 18:57:18,323 DEBUG   HandlerThread:26860 [handler.py:handle_request():146] handle_request: status_report
2023-11-15 18:57:20,550 DEBUG   HandlerThread:26860 [handler.py:handle_request():146] handle_request: stop_status
2023-11-15 18:57:20,550 DEBUG   SenderThread:26860 [sender.py:send_request():407] send_request: stop_status
